"Add XML feed","Dodaj mapę XML"
"Add CSV feed","Dodaj mapę CSV"
"Price comparers feeds","Mapy porównywarek cen"
"Name","Nazwa"
"Link to feed","Odnośnik do mapy"
"Action","Akcja"
"Generate feed","Generuj mape"
"Save and generate feed","Zapisz i generuj mapę"
"Load default schema","Załaduj dane schematu"
"Edit XML feed","Edycja mapy XML"
"Edit CSV feed","Edycja mapy CSV"
"XML comparers feed","Mapa XML porównywarek cen"
"Feed","Mapa"
"Name","Nazwa"
"eg. ComparerFeed","np.: Ceneo"
"Header","Naglowek"
"Footer","Stopka"
"First line is node name for single item (eg. <offer> or <item>). Following lines are nodeName:function where function might be attribute name or one of following:\n","Pierwsza linia to nazwa węzła zawierającego pojedynczy produkt (np. <offer> albo <item>), dostepne funkcje (+ wszystkie pola z bazy danych): \n"
"Content","Zawartość"
"Base scheme","PodstawaSchematu"
"Path","Ścieżka"
"eg: '/feeds' or '/' for main shop directory - path must be writable","np.: 'mapy/' lub '/' dla katalogu głównego serwera (ścieżka musi być zapisywalna)"
"Product filter","Filtr Produktow"
"Comma seperated list","oddzielane przecinkami"
"Category filter","Filtr kategorii"
"CSV comparers feed","Mapa CSV porównywarek cen"
"Fields separator","Separator pól"
"Tab","Tabulator"
"Comma","Przecinek"
"Each line should be in 'Field:Value' format where field is feed field name and value is attribute name or of following:\n","Pierwsza linia to nazwa węzła zawierającego pojedynczy produkt (np. <offer> albo <item>), dostepne funkcje (+ wszystkie pola z bazy danych): \n"
"Invalid path","Sciezka jest nieprawidlowa"
"You must create directory before saving feed","Musisz utworzyc folder  zanim zapiszesz mape."
"Make sure that directory '%s' is writable","Powinienes upewnic sie ze katalog "%s" jest zapisywalnym przez serwer www."
"File '%s' is not writable. Please check that directory '%s' is writable","Plik '%s' nie moze byc zapisany. Upewnij sie ze katalog '%s' jest zapisywalnym przez serwer www."
"Comparers Feeds","Porownywarki"
"Generating options","Opcje generowania map"
"Generation frequency","Częstotliwość generowania"
"Start time","Czas startu"
"Feed not found","Nie można znaleźć mapy"
"Could not generate feed","Nie można wygenerowac mapy"
"Feed '%s' generation successfull","Mapa '%s' została wygenerowana poprawnie"
"Default scheme for %s loaded","Załadowano wartości domyślne dla %s"
"Feed successfully deleted","Mapa została usunięta poprawnie"
"Feed successfully saved","Mapa została zapisana poprawnie"
"Edit feed","Edytuj mapę"
"New feed","Nowa mapa"
"Last generated","Ostatnio wygenerowano"
"Store","Sklep"